Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1/2/2007,00:39:00,0.328,0.128,243.370,1.400,0.000,0.000,0
1/2/2007,00:40:00,0.328,0.130,243.790,1.400,0.000,0.000,0
1/2/2007,00:41:00,0.326,0.128,243.230,1.400,0.000,0.000,0
1/2/2007,00:42:00,0.324,0.126,242.980,1.400,0.000,0.000,0
1/2/2007,00:43:00,0.322,0.126,242.950,1.400,0.000,0.000,0
1/2/2007,00:44:00,0.322,0.124,242.600,1.400,0.000,0.000,0
1/2/2007,00:45:00,0.322,0.128,243.330,1.400,0.000,0.000,0
1/2/2007,00:46:00,0.318,0.118,241.320,1.400,0.000,0.000,0
1/2/2007,00:47:00,0.316,0.116,240.930,1.400,0.000,0.000,0
1/2/2007,00:48:00,0.316,0.116,240.930,1.400,0.000,0.000,0
1/2/2007,00:49:00,0.274,0.058,240.360,1.200,0.000,0.000,0
1/2/2007,00:50:00,0.222,0.000,240.930,1.000,0.000,0.000,0
1/2/2007,00:51:00,0.222,0.000,240.830,1.000,0.000,0.000,0
1/2/2007,00:52:00,0.222,0.000,240.520,1.000,0.000,0.000,0
1/2/2007,00:53:00,0.224,0.000,241.450,1.000,0.000,0.000,0
1/2/2007,00:54:00,0.224,0.000,241.590,1.000,0.000,0.000,0
1/2/2007,00:55:00,0.226,0.000,242.550,1.000,0.000,0.000,0
1/2/2007,00:56:00,0.226,0.000,242.880,1.000,0.000,0.000,0
1/2/2007,00:57:00,0.226,0.000,242.630,1.000,0.000,0.000,0
1/2/2007,00:58:00,0.224,0.000,242.200,1.000,0.000,0.000,0
1/2/2007,00:59:00,0.224,0.000,241.840,1.000,0.000,0.000,0
1/2/2007,01:00:00,0.222,0.000,240.890,1.000,0.000,0.000,0
1/2/2007,01:01:00,0.222,0.000,240.860,1.000,0.000,0.000,0
1/2/2007,01:02:00,0.260,0.000,240.640,1.200,0.000,0.000,0
1/2/2007,01:03:00,0.298,0.088,240.720,1.200,0.000,0.000,0
1/2/2007,01:04:00,0.302,0.094,242.180,1.200,0.000,0.000,0
1/2/2007,01:05:00,0.302,0.096,242.660,1.200,0.000,0.000,0
1/2/2007,01:06:00,0.302,0.096,242.770,1.200,0.000,0.000,0
1/2/2007,01:07:00,0.300,0.096,242.600,1.200,0.000,0.000,0
1/2/2007,01:08:00,0.298,0.094,242.380,1.200,0.000,0.000,0
1/2/2007,01:09:00,0.298,0.094,242.210,1.200,0.000,0.000,0
1/2/2007,01:10:00,0.296,0.096,242.610,1.200,0.000,0.000,0
1/2/2007,01:11:00,0.296,0.094,242.240,1.200,0.000,0.000,0
1/2/2007,01:12:00,0.258,0.000,242.660,1.000,0.000,0.000,0
1/2/2007,01:13:00,0.226,0.000,242.990,1.000,0.000,0.000,0
1/2/2007,01:14:00,0.228,0.000,243.530,1.000,0.000,0.000,0
1/2/2007,01:15:00,0.316,0.088,243.120,1.400,0.000,0.000,0
1/2/2007,01:16:00,0.434,0.252,242.830,2.200,0.000,0.000,0
1/2/2007,01:17:00,0.418,0.254,243.080,2.000,0.000,2.000,0
1/2/2007,01:18:00,0.414,0.254,243.350,2.000,0.000,1.000,0
1/2/2007,01:19:00,0.412,0.252,242.710,2.000,0.000,1.000,0
1/2/2007,01:20:00,0.410,0.246,241.630,2.000,0.000,2.000,0
1/2/2007,01:21:00,0.408,0.246,241.860,2.000,0.000,1.000,0
1/2/2007,01:22:00,0.408,0.248,242.170,2.000,0.000,2.000,0
1/2/2007,01:23:00,0.404,0.244,241.700,2.000,0.000,1.000,0
1/2/2007,01:24:00,0.402,0.242,241.140,1.800,0.000,1.000,0
1/2/2007,01:25:00,0.402,0.244,241.410,1.800,0.000,2.000,0
1/2/2007,01:26:00,0.402,0.246,241.950,1.800,0.000,1.000,0
1/2/2007,01:27:00,0.402,0.248,242.360,1.800,0.000,2.000,0
1/2/2007,01:28:00,0.402,0.250,242.600,1.800,0.000,1.000,0
1/2/2007,01:29:00,0.398,0.246,242.110,1.800,0.000,1.000,0
1/2/2007,01:30:00,0.336,0.156,241.880,1.600,0.000,2.000,0
1/2/2007,01:31:00,0.300,0.104,240.780,1.200,0.000,1.000,0
1/2/2007,01:32:00,0.300,0.104,240.680,1.200,0.000,1.000,0
1/2/2007,01:33:00,0.300,0.106,240.870,1.200,0.000,2.000,0
1/2/2007,01:34:00,0.298,0.106,241.000,1.200,0.000,1.000,0
1/2/2007,01:35:00,0.298,0.106,240.970,1.200,0.000,1.000,0
1/2/2007,01:36:00,0.298,0.106,241.090,1.200,0.000,1.000,0
1/2/2007,01:37:00,0.298,0.106,241.100,1.200,0.000,2.000,0
1/2/2007,01:38:00,0.298,0.106,241.210,1.200,0.000,1.000,0
1/2/2007,01:39:00,0.296,0.106,241.270,1.200,0.000,1.000,0
1/2/2007,01:40:00,0.296,0.108,241.400,1.200,0.000,1.000,0
1/2/2007,01:41:00,0.296,0.108,241.610,1.200,0.000,1.000,0
1/2/2007,01:42:00,0.296,0.106,241.370,1.200,0.000,2.000,0
1/2/2007,01:43:00,0.294,0.106,240.990,1.200,0.000,1.000,0
1/2/2007,01:44:00,0.294,0.106,241.270,1.200,0.000,1.000,0
1/2/2007,01:45:00,0.242,0.000,241.260,1.000,0.000,0.000,0
1/2/2007,01:46:00,0.224,0.000,241.760,1.000,0.000,0.000,0
1/2/2007,01:47:00,0.224,0.000,242.380,1.000,0.000,0.000,0
1/2/2007,01:48:00,0.224,0.000,242.150,1.000,0.000,0.000,0
1/2/2007,01:49:00,0.288,0.050,241.690,1.400,0.000,0.000,0
1/2/2007,01:50:00,0.298,0.088,241.020,1.200,0.000,0.000,0
1/2/2007,01:51:00,0.298,0.088,240.750,1.200,0.000,0.000,0
1/2/2007,01:52:00,0.298,0.088,241.060,1.200,0.000,0.000,0
1/2/2007,01:53:00,0.300,0.090,241.570,1.200,0.000,0.000,0
1/2/2007,01:54:00,0.300,0.094,242.290,1.200,0.000,0.000,0
1/2/2007,01:55:00,0.300,0.096,242.770,1.200,0.000,0.000,0
1/2/2007,01:56:00,0.386,0.190,242.480,1.800,0.000,0.000,0
1/2/2007,01:57:00,0.406,0.228,242.240,1.800,0.000,0.000,0
1/2/2007,01:58:00,0.398,0.222,242.110,1.800,0.000,0.000,0
1/2/2007,01:59:00,0.326,0.116,240.550,1.400,0.000,0.000,0
1/2/2007,02:00:00,0.324,0.116,240.330,1.400,0.000,0.000,0
1/2/2007,02:01:00,0.328,0.126,242.570,1.400,0.000,0.000,0
1/2/2007,02:02:00,0.328,0.130,243.120,1.400,0.000,0.000,0
1/2/2007,02:03:00,0.326,0.128,243.050,1.400,0.000,0.000,0
1/2/2007,02:04:00,0.324,0.128,243.090,1.400,0.000,0.000,0
1/2/2007,02:05:00,0.322,0.124,242.070,1.400,0.000,0.000,0
1/2/2007,02:06:00,0.322,0.124,242.210,1.400,0.000,0.000,0
1/2/2007,02:07:00,0.322,0.126,242.470,1.400,0.000,0.000,0
1/2/2007,02:08:00,0.322,0.126,242.570,1.400,0.000,0.000,0
1/2/2007,02:09:00,0.322,0.128,243.080,1.400,0.000,0.000,0
1/2/2007,02:10:00,0.322,0.130,243.280,1.400,0.000,0.000,0
1/2/2007,02:11:00,0.242,0.000,243.520,1.000,0.000,0.000,0
1/2/2007,02:12:00,0.228,0.000,244.090,1.000,0.000,0.000,0
1/2/2007,02:13:00,0.228,0.000,244.020,1.000,0.000,0.000,0
1/2/2007,02:14:00,0.228,0.000,244.020,1.000,0.000,0.000,0
1/2/2007,02:15:00,0.226,0.000,243.250,1.000,0.000,0.000,0
1/2/2007,02:16:00,0.226,0.000,243.060,1.000,0.000,0.000,0
1/2/2007,02:17:00,0.228,0.000,243.380,1.000,0.000,0.000,0
1/2/2007,02:18:00,0.228,0.000,243.910,1.000,0.000,0.000,0
1/2/2007,02:19:00,0.228,0.000,243.930,1.000,0.000,0.000,0
1/2/2007,02:20:00,0.228,0.000,243.550,1.000,0.000,0.000,0
1/2/2007,02:21:00,0.228,0.000,243.450,1.000,0.000,0.000,0
1/2/2007,02:22:00,0.226,0.000,242.420,1.000,0.000,0.000,0
1/2/2007,02:23:00,0.226,0.000,243.140,1.000,0.000,0.000,0
1/2/2007,02:24:00,0.228,0.000,243.370,1.000,0.000,0.000,0
1/2/2007,02:25:00,0.228,0.000,243.530,1.000,0.000,0.000,0
1/2/2007,02:26:00,0.226,0.000,243.220,1.000,0.000,0.000,0
1/2/2007,02:27:00,0.228,0.000,243.570,1.000,0.000,0.000,0
1/2/2007,02:28:00,0.228,0.000,243.760,1.000,0.000,0.000,0
1/2/2007,02:29:00,0.226,0.000,243.360,1.000,0.000,0.000,0
1/2/2007,02:30:00,0.226,0.000,243.170,1.000,0.000,0.000,0
1/2/2007,02:31:00,0.228,0.000,243.580,1.000,0.000,0.000,0
1/2/2007,02:32:00,0.228,0.000,244.100,1.000,0.000,0.000,0
1/2/2007,02:33:00,0.230,0.000,244.550,1.000,0.000,0.000,0
1/2/2007,02:34:00,0.230,0.000,244.980,1.000,0.000,0.000,0
1/2/2007,02:35:00,0.228,0.000,244.360,1.000,0.000,0.000,0
1/2/2007,02:36:00,0.292,0.060,244.420,1.400,0.000,0.000,0
1/2/2007,02:37:00,0.388,0.190,243.850,1.800,0.000,0.000,0
1/2/2007,02:38:00,0.416,0.238,243.830,2.000,0.000,0.000,0
1/2/2007,02:39:00,0.416,0.244,243.730,2.000,0.000,0.000,0
1/2/2007,02:40:00,0.436,0.276,244.660,2.000,0.000,0.000,0
1/2/2007,02:41:00,0.436,0.280,245.020,2.000,0.000,0.000,0
1/2/2007,02:42:00,0.432,0.280,245.060,2.000,0.000,0.000,0
1/2/2007,02:43:00,0.426,0.272,244.040,2.000,0.000,0.000,0
1/2/2007,02:44:00,0.424,0.270,243.580,2.000,0.000,0.000,0
1/2/2007,02:45:00,0.420,0.268,243.420,2.000,0.000,0.000,0
1/2/2007,02:46:00,0.350,0.160,243.190,1.600,0.000,0.000,0
1/2/2007,02:47:00,0.350,0.164,243.900,1.600,0.000,0.000,0
1/2/2007,02:48:00,0.348,0.162,243.600,1.600,0.000,0.000,0
1/2/2007,02:49:00,0.346,0.160,243.040,1.600,0.000,0.000,0
1/2/2007,02:50:00,0.346,0.162,243.440,1.600,0.000,0.000,0
1/2/2007,02:51:00,0.346,0.162,243.350,1.600,0.000,0.000,0
1/2/2007,02:52:00,0.256,0.000,243.340,1.000,0.000,0.000,0
1/2/2007,02:53:00,0.252,0.000,243.210,1.000,0.000,0.000,0
1/2/2007,02:54:00,0.252,0.000,242.960,1.000,0.000,0.000,0
1/2/2007,02:55:00,0.252,0.000,243.330,1.000,0.000,0.000,0
1/2/2007,02:56:00,0.252,0.000,243.160,1.000,0.000,0.000,0
1/2/2007,02:57:00,0.250,0.000,242.770,1.000,0.000,0.000,0
1/2/2007,02:58:00,0.252,0.000,243.360,1.000,0.000,0.000,0
1/2/2007,02:59:00,0.252,0.000,243.380,1.000,0.000,0.000,0
1/2/2007,03:00:00,0.252,0.000,243.500,1.000,0.000,0.000,0
1/2/2007,03:01:00,0.252,0.000,243.570,1.000,0.000,0.000,0
1/2/2007,03:02:00,0.254,0.000,244.240,1.000,0.000,0.000,0
1/2/2007,03:03:00,0.254,0.000,244.220,1.000,0.000,0.000,0
1/2/2007,03:04:00,0.254,0.000,243.990,1.000,0.000,0.000,0
1/2/2007,03:05:00,0.252,0.000,243.440,1.000,0.000,0.000,0
1/2/2007,03:06:00,0.252,0.000,243.400,1.000,0.000,0.000,0
1/2/2007,03:07:00,0.252,0.000,243.490,1.000,0.000,0.000,0
1/2/2007,03:08:00,0.252,0.000,243.550,1.000,0.000,0.000,0
1/2/2007,03:09:00,0.252,0.000,243.190,1.000,0.000,0.000,0
1/2/2007,03:10:00,0.254,0.000,243.740,1.000,0.000,0.000,0
1/2/2007,03:11:00,0.254,0.000,244.110,1.000,0.000,0.000,0
1/2/2007,03:12:00,0.250,0.000,242.840,1.000,0.000,0.000,0
1/2/2007,03:13:00,0.250,0.000,242.810,1.000,0.000,0.000,0
1/2/2007,03:14:00,0.250,0.000,242.480,1.000,0.000,0.000,0
1/2/2007,03:15:00,0.250,0.000,242.500,1.000,0.000,0.000,0
1/2/2007,03:16:00,0.250,0.000,242.760,1.000,0.000,0.000,0
1/2/2007,03:17:00,0.250,0.000,242.920,1.000,0.000,0.000,0
1/2/2007,03:18:00,0.368,0.150,242.490,1.600,0.000,0.000,0
1/2/2007,03:19:00,0.360,0.158,242.860,1.600,0.000,0.000,0
1/2/2007,03:20:00,0.358,0.162,243.330,1.600,0.000,0.000,0
1/2/2007,03:21:00,0.358,0.162,243.530,1.600,0.000,0.000,0
1/2/2007,03:22:00,0.356,0.162,243.440,1.600,0.000,0.000,0
1/2/2007,03:23:00,0.386,0.184,243.530,1.800,0.000,0.000,0
1/2/2007,03:24:00,0.406,0.234,243.000,1.800,0.000,0.000,0
1/2/2007,03:25:00,0.404,0.238,243.800,1.800,0.000,0.000,0
1/2/2007,03:26:00,0.402,0.236,243.500,1.800,0.000,0.000,0
1/2/2007,03:27:00,0.400,0.234,243.130,1.800,0.000,0.000,0
1/2/2007,03:28:00,0.400,0.234,243.340,1.800,0.000,0.000,0
1/2/2007,03:29:00,0.398,0.236,243.510,1.800,0.000,0.000,0
1/2/2007,03:30:00,0.396,0.238,243.860,1.800,0.000,0.000,0
1/2/2007,03:31:00,0.392,0.234,243.030,1.800,0.000,0.000,0
1/2/2007,03:32:00,0.346,0.166,242.990,1.600,0.000,0.000,0
1/2/2007,03:33:00,0.258,0.000,243.120,1.000,0.000,0.000,0
1/2/2007,03:34:00,0.224,0.000,242.060,1.000,0.000,0.000,0
1/2/2007,03:35:00,0.224,0.000,241.770,1.000,0.000,0.000,0
1/2/2007,03:36:00,0.226,0.000,242.340,1.000,0.000,0.000,0
1/2/2007,03:37:00,0.228,0.000,243.260,1.000,0.000,0.000,0
1/2/2007,03:38:00,0.228,0.000,243.710,1.000,0.000,0.000,0
1/2/2007,03:39:00,0.230,0.000,244.830,1.000,0.000,0.000,0
1/2/2007,03:40:00,0.230,0.000,244.690,1.000,0.000,0.000,0
1/2/2007,03:41:00,0.230,0.000,244.550,1.000,0.000,0.000,0
1/2/2007,03:42:00,0.230,0.000,244.380,1.000,0.000,0.000,0
1/2/2007,03:43:00,0.230,0.000,244.400,1.000,0.000,0.000,0
1/2/2007,03:44:00,0.228,0.000,244.160,1.000,0.000,0.000,0
1/2/2007,03:45:00,0.268,0.000,244.210,1.400,0.000,0.000,0
1/2/2007,03:46:00,0.312,0.120,244.130,1.400,0.000,1.000,0
1/2/2007,03:47:00,0.312,0.120,244.220,1.400,0.000,1.000,0
1/2/2007,03:48:00,0.312,0.118,243.960,1.400,0.000,2.000,0
1/2/2007,03:49:00,0.312,0.116,243.480,1.400,0.000,1.000,0
1/2/2007,03:50:00,0.312,0.118,243.840,1.400,0.000,2.000,0
1/2/2007,03:51:00,0.314,0.120,243.920,1.400,0.000,1.000,0
1/2/2007,03:52:00,0.314,0.122,244.500,1.400,0.000,1.000,0
1/2/2007,03:53:00,0.314,0.122,244.600,1.400,0.000,2.000,0
1/2/2007,03:54:00,0.314,0.122,244.560,1.400,0.000,1.000,0
1/2/2007,03:55:00,0.312,0.120,243.910,1.400,0.000,2.000,0
1/2/2007,03:56:00,0.310,0.116,243.550,1.400,0.000,1.000,0
1/2/2007,03:57:00,0.310,0.116,243.580,1.400,0.000,1.000,0
1/2/2007,03:58:00,0.308,0.112,242.740,1.400,0.000,2.000,0
1/2/2007,03:59:00,0.412,0.228,242.720,2.000,0.000,1.000,0
1/2/2007,04:00:00,0.416,0.250,242.710,2.000,0.000,1.000,0
1/2/2007,04:01:00,0.410,0.248,242.320,2.000,0.000,2.000,0
1/2/2007,04:02:00,0.408,0.248,242.360,2.000,0.000,1.000,0
1/2/2007,04:03:00,0.406,0.246,242.120,2.000,0.000,1.000,0
1/2/2007,04:04:00,0.404,0.248,242.180,2.000,0.000,2.000,0
1/2/2007,04:05:00,0.402,0.248,242.220,1.800,0.000,1.000,0
1/2/2007,04:06:00,0.400,0.246,241.980,1.800,0.000,1.000,0
1/2/2007,04:07:00,0.398,0.246,242.090,1.800,0.000,1.000,0
1/2/2007,04:08:00,0.396,0.246,241.920,1.800,0.000,1.000,0
1/2/2007,04:09:00,0.396,0.250,242.610,1.800,0.000,2.000,0
1/2/2007,04:10:00,0.396,0.252,242.990,1.800,0.000,1.000,0
1/2/2007,04:11:00,0.432,0.280,243.060,2.200,0.000,1.000,0
1/2/2007,04:12:00,0.470,0.358,242.940,2.400,0.000,1.000,0
1/2/2007,04:13:00,0.428,0.296,243.070,2.200,0.000,2.000,0
1/2/2007,04:14:00,0.348,0.170,242.850,1.600,0.000,0.000,0
1/2/2007,04:15:00,0.304,0.094,242.730,1.200,0.000,0.000,0
1/2/2007,04:16:00,0.302,0.094,242.650,1.200,0.000,0.000,0
1/2/2007,04:17:00,0.302,0.096,243.080,1.200,0.000,0.000,0
1/2/2007,04:18:00,0.300,0.100,243.600,1.200,0.000,0.000,0
1/2/2007,04:19:00,0.298,0.096,243.050,1.200,0.000,0.000,0
1/2/2007,04:20:00,0.292,0.086,243.380,1.200,0.000,0.000,0
1/2/2007,04:21:00,0.228,0.000,243.820,1.000,0.000,0.000,0
1/2/2007,04:22:00,0.228,0.000,243.730,1.000,0.000,0.000,0
1/2/2007,04:23:00,0.230,0.000,244.260,1.000,0.000,0.000,0
1/2/2007,04:24:00,0.230,0.000,244.980,1.000,0.000,0.000,0
1/2/2007,04:25:00,0.230,0.000,244.950,1.000,0.000,0.000,0
1/2/2007,04:26:00,0.234,0.000,244.300,1.000,0.000,0.000,0
1/2/2007,04:27:00,0.250,0.000,243.730,1.000,0.000,0.000,0
1/2/2007,04:28:00,0.250,0.000,243.230,1.000,0.000,0.000,0
1/2/2007,04:29:00,0.226,0.000,242.830,1.000,0.000,0.000,0
1/2/2007,04:30:00,0.226,0.000,242.750,1.000,0.000,0.000,0
1/2/2007,04:31:00,0.226,0.000,243.000,1.000,0.000,0.000,0
1/2/2007,04:32:00,0.228,0.000,243.300,1.000,0.000,0.000,0
1/2/2007,04:33:00,0.228,0.000,243.400,1.000,0.000,0.000,0
1/2/2007,04:34:00,0.226,0.000,242.690,1.000,0.000,0.000,0
1/2/2007,04:35:00,0.226,0.000,242.310,1.000,0.000,0.000,0
1/2/2007,04:36:00,0.224,0.000,242.160,1.000,0.000,0.000,0
1/2/2007,04:37:00,0.224,0.000,242.130,1.000,0.000,0.000,0
1/2/2007,04:38:00,0.224,0.000,242.020,1.000,0.000,0.000,0
1/2/2007,04:39:00,0.226,0.000,242.490,1.000,0.000,0.000,0
1/2/2007,04:40:00,0.320,0.090,243.160,1.400,0.000,0.000,0
1/2/2007,04:41:00,0.338,0.128,243.110,1.400,0.000,0.000,0
1/2/2007,04:42:00,0.332,0.122,242.150,1.400,0.000,0.000,0
1/2/2007,04:43:00,0.330,0.124,242.260,1.400,0.000,0.000,0
1/2/2007,04:44:00,0.328,0.124,242.180,1.400,0.000,0.000,0
1/2/2007,04:45:00,0.326,0.122,242.010,1.400,0.000,0.000,0
1/2/2007,04:46:00,0.326,0.122,242.010,1.400,0.000,0.000,0
1/2/2007,04:47:00,0.324,0.120,241.670,1.400,0.000,0.000,0
1/2/2007,04:48:00,0.322,0.120,241.500,1.400,0.000,0.000,0
1/2/2007,04:49:00,0.320,0.120,241.370,1.400,0.000,0.000,0
1/2/2007,04:50:00,0.320,0.122,241.780,1.400,0.000,0.000,0
1/2/2007,04:51:00,0.320,0.124,242.270,1.400,0.000,0.000,0
1/2/2007,04:52:00,0.320,0.120,241.880,1.400,0.000,0.000,0
1/2/2007,04:53:00,0.318,0.120,241.810,1.400,0.000,0.000,0
1/2/2007,04:54:00,0.270,0.052,241.920,1.200,0.000,0.000,0
1/2/2007,04:55:00,0.224,0.000,241.680,1.000,0.000,0.000,0
1/2/2007,04:56:00,0.224,0.000,241.380,1.000,0.000,0.000,0
1/2/2007,04:57:00,0.222,0.000,240.580,1.000,0.000,0.000,0
1/2/2007,04:58:00,0.222,0.000,240.810,1.000,0.000,0.000,0
1/2/2007,04:59:00,0.288,0.048,241.040,1.400,0.000,0.000,0
1/2/2007,05:00:00,0.300,0.090,241.540,1.200,0.000,0.000,0
1/2/2007,05:01:00,0.300,0.088,241.420,1.200,0.000,0.000,0
1/2/2007,05:02:00,0.300,0.088,241.450,1.200,0.000,0.000,0
1/2/2007,05:03:00,0.298,0.086,240.860,1.200,0.000,0.000,0
1/2/2007,05:04:00,0.294,0.084,239.840,1.200,0.000,0.000,0
1/2/2007,05:05:00,0.294,0.082,239.500,1.200,0.000,0.000,0
1/2/2007,05:06:00,0.292,0.082,239.820,1.200,0.000,0.000,0
1/2/2007,05:07:00,0.292,0.082,239.820,1.200,0.000,0.000,0
1/2/2007,05:08:00,0.248,0.000,240.780,1.000,0.000,0.000,0
1/2/2007,05:09:00,0.222,0.000,240.920,1.000,0.000,0.000,0
1/2/2007,05:10:00,0.222,0.000,240.740,1.000,0.000,0.000,0
1/2/2007,05:11:00,0.222,0.000,241.150,1.000,0.000,0.000,0
1/2/2007,05:12:00,0.224,0.000,241.370,1.000,0.000,0.000,0
1/2/2007,05:13:00,0.224,0.000,241.710,1.000,0.000,0.000,0
1/2/2007,05:14:00,0.226,0.000,242.680,1.000,0.000,0.000,0
1/2/2007,05:15:00,0.226,0.000,243.110,1.000,0.000,0.000,0
1/2/2007,05:16:00,0.226,0.000,243.060,1.000,0.000,0.000,0
1/2/2007,05:17:00,0.226,0.000,243.010,1.000,0.000,0.000,0
1/2/2007,05:18:00,0.226,0.000,242.770,1.000,0.000,0.000,0
1/2/2007,05:19:00,0.224,0.000,241.510,1.000,0.000,0.000,0
1/2/2007,05:20:00,0.224,0.000,241.420,1.000,0.000,0.000,0
1/2/2007,05:21:00,0.300,0.062,240.770,1.400,0.000,0.000,0
1/2/2007,05:22:00,0.334,0.116,240.810,1.400,0.000,0.000,0
1/2/2007,05:23:00,0.330,0.116,240.950,1.400,0.000,0.000,0
1/2/2007,05:24:00,0.328,0.120,241.430,1.400,0.000,0.000,0
1/2/2007,05:25:00,0.328,0.120,241.520,1.400,0.000,0.000,0
1/2/2007,05:26:00,0.326,0.120,241.490,1.400,0.000,0.000,0
1/2/2007,05:27:00,0.324,0.118,240.890,1.400,0.000,0.000,0
1/2/2007,05:28:00,0.322,0.118,240.910,1.400,0.000,0.000,0
1/2/2007,05:29:00,0.322,0.122,241.850,1.400,0.000,0.000,0
1/2/2007,05:30:00,0.320,0.118,241.110,1.400,0.000,0.000,0
1/2/2007,05:31:00,0.318,0.118,240.930,1.400,0.000,0.000,0
1/2/2007,05:32:00,0.318,0.118,240.880,1.400,0.000,0.000,0
1/2/2007,05:33:00,0.316,0.116,240.670,1.400,0.000,0.000,0
1/2/2007,05:34:00,0.316,0.114,240.340,1.400,0.000,0.000,0
1/2/2007,05:35:00,0.270,0.052,240.200,1.200,0.000,0.000,0
1/2/2007,05:36:00,0.222,0.000,240.620,1.000,0.000,0.000,0
1/2/2007,05:37:00,1.138,0.000,240.100,5.000,0.000,0.000,13
1/2/2007,05:38:00,1.320,0.000,239.790,5.400,0.000,0.000,19
1/2/2007,05:39:00,1.302,0.000,239.360,5.400,0.000,0.000,18
1/2/2007,05:40:00,1.290,0.000,239.250,5.400,0.000,0.000,17
1/2/2007,05:41:00,1.278,0.000,238.560,5.200,0.000,0.000,18
1/2/2007,05:42:00,1.276,0.000,238.610,5.200,0.000,0.000,18
1/2/2007,05:43:00,1.282,0.000,239.310,5.200,0.000,0.000,17
1/2/2007,05:44:00,1.284,0.000,239.560,5.200,0.000,0.000,18
1/2/2007,05:45:00,1.290,0.000,240.290,5.200,0.000,0.000,18
1/2/2007,05:46:00,1.290,0.000,240.300,5.200,0.000,0.000,17
1/2/2007,05:47:00,1.336,0.000,239.670,5.600,0.000,0.000,18
1/2/2007,05:48:00,1.354,0.072,239.520,5.600,0.000,0.000,18
1/2/2007,05:49:00,1.350,0.072,239.020,5.600,0.000,0.000,17
1/2/2007,05:50:00,1.340,0.068,238.150,5.600,0.000,0.000,18
1/2/2007,05:51:00,1.342,0.068,238.350,5.600,0.000,0.000,17
1/2/2007,05:52:00,1.336,0.068,237.970,5.600,0.000,0.000,17
1/2/2007,05:53:00,1.340,0.070,238.560,5.600,0.000,0.000,18
1/2/2007,05:54:00,1.342,0.070,238.900,5.600,0.000,0.000,17
